,source,id,url,parent_url,cc_url,content_truncated,result,mention_number,result_text
0,df_selected_urls_2024_p1,80,https://www.gov.uk/government/news/graham-allen-launches-second-report-on-early-intervention,www.gov.uk,https://data.commoncrawl.org/crawl-data/CC-MAIN-2024-10/segments/1707947473360.9/wet/CC-MAIN-20240221002544-20240221032544-00513.warc.wet.gz,"graham allen launches second report on early intervention - gov.uk
cookies on gov.uk
we use some ess",Sure Start,1," we are recruiting 4,200 health visitors and expanding programmes such as family nurse partnerships. through establishing the £2bn a year early intervention grant, we have signalled the importance of this agenda. we have committed to maintain a network of sure start children’s centres and to expand the free offer of childcare to disadvantaged two year olds, and put in place measures like the pupil premium. we are encouraging system reform through community budgets and payment by results. this package will e"
1,df_selected_urls_2024_p1,261,https://www.gov.uk/government/news/first-special-and-alternative-provision-free-schools-given-the-green-light,www.gov.uk,https://data.commoncrawl.org/crawl-data/CC-MAIN-2024-10/segments/1707947473598.4/wet/CC-MAIN-20240221234056-20240222024056-00156.warc.wet.gz,"first special and alternative provision free schools given the green light - gov.uk
cookies on gov.u",free school meals,1,"e right for local children. international evidence shows that giving teachers and heads more freedom in the classroom helps to raise standards in education.
free schools and academies can also prioritise the most disadvantaged children (those eligible for free school meals) in their school admissions. with children eligible for free school meals attracting additional funding through the coalition’s pupil premium - worth £488 per pupil this year - there will be even more incentive for these schools to attrac"
2,df_selected_urls_2024_p1,261,https://www.gov.uk/government/news/first-special-and-alternative-provision-free-schools-given-the-green-light,www.gov.uk,https://data.commoncrawl.org/crawl-data/CC-MAIN-2024-10/segments/1707947473598.4/wet/CC-MAIN-20240221234056-20240222024056-00156.warc.wet.gz,"first special and alternative provision free schools given the green light - gov.uk
cookies on gov.u",free school meals,2,"ers and heads more freedom in the classroom helps to raise standards in education.
free schools and academies can also prioritise the most disadvantaged children (those eligible for free school meals) in their school admissions. with children eligible for free school meals attracting additional funding through the coalition’s pupil premium - worth £488 per pupil this year - there will be even more incentive for these schools to attract those pupils most in need of the high-quality education they will offer."
3,df_selected_urls_2024_p1,261,https://www.gov.uk/government/news/first-special-and-alternative-provision-free-schools-given-the-green-light,www.gov.uk,https://data.commoncrawl.org/crawl-data/CC-MAIN-2024-10/segments/1707947473598.4/wet/CC-MAIN-20240221234056-20240222024056-00156.warc.wet.gz,"first special and alternative provision free schools given the green light - gov.uk
cookies on gov.u",School meals,1,"ht for local children. international evidence shows that giving teachers and heads more freedom in the classroom helps to raise standards in education.
free schools and academies can also prioritise the most disadvantaged children (those eligible for free school meals) in their school admissions. with children eligible for free school meals attracting additional funding through the coalition’s pupil premium - worth £488 per pupil this year - there will be even more incentive for these schools to attract tho"
4,df_selected_urls_2024_p1,261,https://www.gov.uk/government/news/first-special-and-alternative-provision-free-schools-given-the-green-light,www.gov.uk,https://data.commoncrawl.org/crawl-data/CC-MAIN-2024-10/segments/1707947473598.4/wet/CC-MAIN-20240221234056-20240222024056-00156.warc.wet.gz,"first special and alternative provision free schools given the green light - gov.uk
cookies on gov.u",School meals,2,"nd heads more freedom in the classroom helps to raise standards in education.
free schools and academies can also prioritise the most disadvantaged children (those eligible for free school meals) in their school admissions. with children eligible for free school meals attracting additional funding through the coalition’s pupil premium - worth £488 per pupil this year - there will be even more incentive for these schools to attract those pupils most in need of the high-quality education they will offer.
the "
5,df_selected_urls_2024_p1,403,https://www.gov.uk/government/news/prime-minister-announces-support-for-parents-and-families,www.gov.uk,https://data.commoncrawl.org/crawl-data/CC-MAIN-2024-10/segments/1707947473738.92/wet/CC-MAIN-20240222093910-20240222123910-00387.warc.wet.gz,"prime minister announces support for parents and families - gov.uk
cookies on gov.uk
we use some ess",Best Start in Life,1," videos showing midwives demonstrating practical advice such as bathing your baby and parents discussing issues that affected them and how they supported each other.
secretary of state for health, andrew lansley said:
”we all want to give our children the best start in life. but sometimes, particularly for first-time parents, bringing a new baby home can be a daunting as well as a happy experience.
”that is why we are determined to help people become more confident in becoming a parent - from pregnancy to t"
6,df_selected_urls_2024_p1,412,https://www.gov.uk/government/news/coasting-schools-meeting,www.gov.uk,https://data.commoncrawl.org/crawl-data/CC-MAIN-2024-10/segments/1707947473738.92/wet/CC-MAIN-20240222093910-20240222123910-00576.warc.wet.gz,"coasting schools meeting - gov.uk
cookies on gov.uk
we use some essential cookies to make this websi",Best Start in Life,1,"ure, and turned that school around. now he’s going to help us drive the nationwide transformation of our schools.
be in no doubt: this is a government that is incredibly ambitious for all the children in our country - and we will fight for them to get the best start in life.
sign up to receive the prime minister’s newsletter .
share this page
the following links open in a new tab
share on facebook (opens in new tab)
share on twitter (opens in new tab)
published 17 january 2012
is this page useful?
maybe
yes"
7,df_selected_urls_2024_p1,533,https://www.gov.uk/government/news/government-sets-out-further-detail-on-local-government-savings,www.gov.uk,https://data.commoncrawl.org/crawl-data/CC-MAIN-2024-10/segments/1707947473824.13/wet/CC-MAIN-20240222161802-20240222191802-00153.warc.wet.gz,"government sets out further detail on local government savings - gov.uk
cookies on gov.uk
we use som",Sure Start,1," back of the quango state.
the detailed spending decisions outlined today show a clear determination to make the necessary savings whilst minimising the impact on essential frontline services like rubbish collections and protecting spending on schools and sure start. we have focused attention on reducing the centre and it is here that the reductions are the hardest.
steps have been taken to limit the impact on local authorities and make savings proportionally. councils have been given the flexibility they n"
8,df_selected_urls_2024_p1,793,https://www.gov.uk/government/news/tax-free-childcare-10-things-parents-should-know,www.gov.uk,https://data.commoncrawl.org/crawl-data/CC-MAIN-2024-10/segments/1707947474412.46/wet/CC-MAIN-20240223121413-20240223151413-00256.warc.wet.gz,"tax-free childcare: 10 things parents should know - gov.uk
cookies on gov.uk
we use some essential c",tax-free childcare,1,"tax-free childcare: 10 things parents should know - gov.uk
cookies on gov.uk
we use some essential cookies to make this website work.
we’d like to set additional cookies to understand how you use gov.uk, remember your settings and improve government servic"
9,df_selected_urls_2024_p1,793,https://www.gov.uk/government/news/tax-free-childcare-10-things-parents-should-know,www.gov.uk,https://data.commoncrawl.org/crawl-data/CC-MAIN-2024-10/segments/1707947474412.46/wet/CC-MAIN-20240223121413-20240223151413-00256.warc.wet.gz,"tax-free childcare: 10 things parents should know - gov.uk
cookies on gov.uk
we use some essential c",tax-free childcare,2,"et support with the cost of living
find out about the energy bills support scheme
find a job
universal credit account: sign in
check your national insurance record
check mot history of a vehicle
home
parenting, childcare and children's services
news story
tax-free childcare: 10 things parents should know
ten things to know about the new tax-free childcare scheme.
from:
hm treasury, department for education, hm revenue & customs, and prime minister's office, 10 downing street
published
18 march 2014
last upd"
10,df_selected_urls_2024_p1,793,https://www.gov.uk/government/news/tax-free-childcare-10-things-parents-should-know,www.gov.uk,https://data.commoncrawl.org/crawl-data/CC-MAIN-2024-10/segments/1707947474412.46/wet/CC-MAIN-20240223121413-20240223151413-00256.warc.wet.gz,"tax-free childcare: 10 things parents should know - gov.uk
cookies on gov.uk
we use some essential c",tax-free childcare,3,"ind a job
universal credit account: sign in
check your national insurance record
check mot history of a vehicle
home
parenting, childcare and children's services
news story
tax-free childcare: 10 things parents should know
ten things to know about the new tax-free childcare scheme.
from:
hm treasury, department for education, hm revenue & customs, and prime minister's office, 10 downing street
published
18 march 2014
last updated
18 march 2016 — see all updates
tax-free childcare will be available to around"
